NoCurso	Curso	Docente	Clave Oficial	Matricula	Alumno	Calificacion	Edo Eval	Edo Al	Tipo Eval	Fecha Registro	Tipo Entrega	Registró Acta	Grupo	Turno	Modalidad	Periodo	Programa	Creditos	Nombre Ofical	Plan Estudio Periodo	Numero Periodo	Etapa Formativa	Tipo Asignatura	Orden	Estado Evaluacion	Periodo Actual	Estado Alumno	Campus	Bloque	Tipo Evaluacion	F.Carga Aca
15252	INVESTIGACIÓN I	SANTOS LUNA GERARDO	INIM-204720	MRIX226209	CAROLINA SAMANIEGO ORTIZ	8.3	A	EG	ORD	09/18/2025	ORDINARIA	SANTOS LUNA GERARDO	99IIS965	Vespertino	VIRTUAL	04/09/2024	INGENIERÍA MECÁNICA	7	INVESTIGACIÓN I	CUATRIMESTRE 1	3	TERMINAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	01/31/2025
15253	CREATIVIDAD E INNOVACIÓN	SANTOS LUNA GERARDO	INIM-205192	MRIX235266	BEATRIZ FLORES TOLEDO	9.1	A	EG	ORD	02/25/2024	ORDINARIA	SANTOS LUNA GERARDO	45IIS251	Matutino	PRESENCIAL	01/13/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 6	5	BÁSICA	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 8	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	03/13/2023
15254	ADMINISTRACIÓN INDUSTRIAL	RODRIGUEZ GARCIA MARTHA MARIA	INIM-201840	MRIX222974	SOFÍA RODRÍGUEZ RAMOS	8.9	A	RE	EXT	06/24/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	94IIS590	Matutino	PRESENCIAL	10/29/2023	INGENIERÍA EN SISTEMAS	7	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 1	10	TERMINAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 3	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	11/24/2024
15255	INVESTIGACIÓN I	RODRIGUEZ GARCIA MARTHA MARIA	INIM-206462	MRIX207899	MARÍA RAMOS OLIVÁREZ	8.4	A	AC	EXT	06/28/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	25IIS602	Vespertino	PRESENCIAL	07/01/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	6	INVESTIGACIÓN I	CUATRIMESTRE 6	1	TERMINAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 10	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	11/14/2025
15256	INVESTIGACIÓN I	RODRIGUEZ GARCIA MARTHA MARIA	INIM-202683	MRIX226649	DANIELA TORRES TOLEDO	7.8	A	EG	ORD	06/25/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	94IIS534	Matutino	VIRTUAL	05/01/2025	INGENIERÍA EN SISTEMAS	6	INVESTIGACIÓN I	CUATRIMESTRE 7	8	PROFESIONAL	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	08/14/2024
15257	ADMINISTRACIÓN INDUSTRIAL	SANTOS LUNA GERARDO	INIM-200691	MRIX211676	MARTHA ESPINOZA QUINTANILLA	6.1	NA	EG	EXT	08/15/2024	ORDINARIA	SANTOS LUNA GERARDO	39IIS954	Matutino	PRESENCIAL	02/20/2025	INGENIERÍA EN SISTEMAS	6	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 10	4	PROFESIONAL	OPTATIVA	0	NO ACREDITADA	CUATRIMESTRE 5	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	10/01/2025
15258	CREATIVIDAD E INNOVACIÓN	SANTOS LUNA GERARDO	INIM-209520	MRIX215510	MARÍA GARCÍA TORRES	7.3	A	RE	ORD	05/17/2023	ORDINARIA	SANTOS LUNA GERARDO	62IIS679	Vespertino	PRESENCIAL	10/06/2025	INGENIERÍA MECÁNICA	5	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 7	2	TERMINAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 5	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	01/10/2025
15259	CREATIVIDAD E INNOVACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-204749	MRIX230880	PATRICIA CORAZA JAIMES	8.1	A	RE	ORD	12/30/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	38IIS642	Matutino	PRESENCIAL	05/09/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 2	5	PROFESIONAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 9	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	04/10/2023
15260	ADMINISTRACIÓN INDUSTRIAL	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-207944	MRIX235878	OSCAR ROQUE FLORES	9.2	A	EG	EXT	07/30/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	53IIS448	Vespertino	VIRTUAL	11/27/2025	INGENIERÍA MECÁNICA	6	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 3	1	TERMINAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 2	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	02/02/2025
15261	MATEMÁTICAS APLICADAS	SANTOS LUNA GERARDO	INIM-209791	MRIX239310	ROBERTO ROLÓN OLIVÁREZ	8.7	A	AC	EXT	10/12/2023	ORDINARIA	SANTOS LUNA GERARDO	67IIS881	Matutino	VIRTUAL	01/12/2025	INGENIERÍA MECÁNICA	7	MATEMÁTICAS APLICADAS	CUATRIMESTRE 6	5	PROFESIONAL	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 3	REGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	06/24/2025
15262	INVESTIGACIÓN I	SANTOS LUNA GERARDO	INIM-207685	MRIX205629	MIGUEL ECHEVERRÍA TORRES	5.1	NA	RE	EXT	11/17/2025	ORDINARIA	SANTOS LUNA GERARDO	16IIS359	Matutino	PRESENCIAL	03/09/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	INVESTIGACIÓN I	CUATRIMESTRE 1	4	PROFESIONAL	OBLIGATORIA	0	NO ACREDITADA	CUATRIMESTRE 2	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	05/02/2023
15263	INVESTIGACIÓN I	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-201623	MRIX233870	SOFÍA VALVERDE DÍAZ	7.5	A	EG	EXT	10/31/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	75IIS881	Vespertino	PRESENCIAL	05/10/2024	INGENIERÍA MECÁNICA	7	INVESTIGACIÓN I	CUATRIMESTRE 1	3	BÁSICA	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 9	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	05/20/2023
15264	ADMINISTRACIÓN INDUSTRIAL	RODRIGUEZ GARCIA MARTHA MARIA	INIM-206677	MRIX192209	JORGE ROQUE VELÁSQUEZ	8.6	A	AC	ORD	11/19/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	15IIS879	Vespertino	VIRTUAL	03/14/2024	INGENIERÍA MECÁNICA	7	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 6	7	TERMINAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 2	IRREGULAR	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	04/11/2024
15265	MATEMÁTICAS APLICADAS	SANTOS LUNA GERARDO	INIM-203093	MRIX219721	ALEJANDRA ROQUE MENDOZA	8.8	A	RE	EXT	08/18/2024	ORDINARIA	SANTOS LUNA GERARDO	09IIS961	Matutino	VIRTUAL	04/14/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	MATEMÁTICAS APLICADAS	CUATRIMESTRE 8	4	PROFESIONAL	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 6	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	05/26/2025
15266	CREATIVIDAD E INNOVACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-206958	MRIX192546	DANIELA ROJAS QUINTANILLA	7.8	A	AC	EXT	09/09/2023	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	93IIS611	Vespertino	SEMIPRESENCIAL	04/07/2025	INGENIERÍA EN SISTEMAS	6	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 5	6	TERMINAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 10	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 1	ORDINARIA	04/21/2024
15267	CREATIVIDAD E INNOVACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-200438	MRIX228531	ARTURO ARREOLA VALVERDE	8.6	A	RE	ORD	05/20/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	23IIS491	Matutino	VIRTUAL	04/19/2023	INGENIERÍA EN SISTEMAS	6	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 10	1	BÁSICA	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 6	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	10/17/2025
15268	MATEMÁTICAS APLICADAS	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-205153	MRIX238657	ARMANDO GONZÁLEZ ARREOLA	8.5	A	EG	EXT	02/24/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	49IIS553	Vespertino	SEMIPRESENCIAL	09/01/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 8	1	PROFESIONAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 1	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	07/10/2025
15269	MATEMÁTICAS APLICADAS	RODRIGUEZ GARCIA MARTHA MARIA	INIM-204315	MRIX222796	ESTELA FLORES SANTOS	7.6	A	EG	EXT	04/25/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	64IIS705	Vespertino	VIRTUAL	11/03/2025	INGENIERÍA MECÁNICA	10	MATEMÁTICAS APLICADAS	CUATRIMESTRE 7	9	BÁSICA	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 10	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	03/12/2025
15270	SIMULACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-205113	MRIX192693	LUCÍA RODRÍGUEZ BERRÍOS	8.8	A	RE	EXT	05/22/2024	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	76IIS186	Matutino	SEMIPRESENCIAL	05/15/2024	INGENIERÍA EN SISTEMAS	10	SIMULACIÓN	CUATRIMESTRE 2	6	PROFESIONAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 5	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	04/25/2024
15271	ADMINISTRACIÓN INDUSTRIAL	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-203373	MRIX227514	DAVID CASTILLO MARTÍNEZ	8.9	A	RE	EXT	09/27/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	44IIS608	Vespertino	VIRTUAL	07/20/2023	INGENIERÍA MECÁNICA	10	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 9	6	BÁSICA	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 6	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	07/24/2023
15272	SIMULACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-207786	MRIX199372	ANDREA GÓMEZ SANTOS	9.4	A	EG	ORD	05/18/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	55IIS314	Vespertino	PRESENCIAL	07/13/2024	INGENIERÍA EN SISTEMAS	5	SIMULACIÓN	CUATRIMESTRE 6	10	PROFESIONAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 2	REGULAR	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	12/23/2025
15273	SIMULACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-208728	MRIX213871	ANDREA ARREOLA VELÁSQUEZ	9.3	A	AC	ORD	08/15/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	79IIS973	Vespertino	SEMIPRESENCIAL	03/12/2024	INGENIERÍA EN SISTEMAS	6	SIMULACIÓN	CUATRIMESTRE 7	10	TERMINAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 10	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	07/02/2024
15274	ADMINISTRACIÓN INDUSTRIAL	RODRIGUEZ GARCIA MARTHA MARIA	INIM-202456	MRIX205512	VALERIA TORRES MORALES	5.1	NA	RE	ORD	05/03/2024	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	25IIS128	Vespertino	PRESENCIAL	04/11/2025	INGENIERÍA EN SISTEMAS	7	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 4	10	TERMINAL	OBLIGATORIA	0	NO ACREDITADA	CUATRIMESTRE 5	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	08/21/2023
15275	MATEMÁTICAS APLICADAS	CORAZA SEGARRA DANIEL ARMANDO	INIM-206668	MRIX203203	ANDREA SAMANIEGO MARTÍNEZ	7.4	A	EG	EXT	09/02/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	47IIS787	Matutino	VIRTUAL	10/04/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 2	1	PROFESIONAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 7	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	05/11/2023
15276	ADMINISTRACIÓN INDUSTRIAL	SANTOS LUNA GERARDO	INIM-202869	MRIX232569	SOFÍA IBARRA MATA	6.4	NA	RE	EXT	10/23/2023	ORDINARIA	SANTOS LUNA GERARDO	28IIS381	Vespertino	VIRTUAL	03/22/2024	INGENIERÍA MECÁNICA	10	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 8	4	BÁSICA	OBLIGATORIA	1	NO ACREDITADA	CUATRIMESTRE 7	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	08/07/2023
15277	MATEMÁTICAS APLICADAS	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-204144	MRIX195778	ALEJANDRA VELÁSQUEZ MENDOZA	7.7	A	RE	EXT	04/22/2023	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	71IIS493	Vespertino	SEMIPRESENCIAL	03/13/2023	INGENIERÍA EN SISTEMAS	7	MATEMÁTICAS APLICADAS	CUATRIMESTRE 5	1	BÁSICA	OPTATIVA	2	ACREDITADA	CUATRIMESTRE 6	REGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	05/05/2024
15278	MATEMÁTICAS APLICADAS	SANTOS LUNA GERARDO	INIM-205451	MRIX224779	EDUARDO GUZMÁN GARCÍA	6.3	NA	RE	EXT	08/22/2025	ORDINARIA	SANTOS LUNA GERARDO	92IIS532	Matutino	VIRTUAL	10/03/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 2	5	BÁSICA	OBLIGATORIA	0	NO ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	04/25/2025
15279	MATEMÁTICAS APLICADAS	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-201815	MRIX235946	RICARDO ÁVILA VALVERDE	8.9	A	EG	ORD	10/04/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	21IIS355	Matutino	PRESENCIAL	09/17/2024	INGENIERÍA MECÁNICA	5	MATEMÁTICAS APLICADAS	CUATRIMESTRE 9	7	TERMINAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 3	EGRESADO	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	06/18/2023
15280	SIMULACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-201457	MRIX213435	ARTURO MATA RAMÍREZ	6.3	NA	AC	EXT	02/17/2023	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	60IIS303	Vespertino	VIRTUAL	02/12/2023	INGENIERÍA MECÁNICA	10	SIMULACIÓN	CUATRIMESTRE 5	10	BÁSICA	OBLIGATORIA	0	NO ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	04/13/2024
15281	MATEMÁTICAS APLICADAS	CORAZA SEGARRA DANIEL ARMANDO	INIM-206259	MRIX196621	OSCAR REYES TORRES	8.9	A	RE	ORD	08/12/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	17IIS541	Matutino	PRESENCIAL	06/29/2024	INGENIERÍA MECÁNICA	6	MATEMÁTICAS APLICADAS	CUATRIMESTRE 4	4	TERMINAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 10	IRREGULAR	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	10/09/2025
15282	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-203476	MRIX201064	MAURICIO RIVERA ÁVILA	8.9	A	EG	EXT	10/24/2024	ORDINARIA	SANTOS LUNA GERARDO	92IIS492	Matutino	SEMIPRESENCIAL	09/30/2023	INGENIERÍA EN SISTEMAS	5	SIMULACIÓN	CUATRIMESTRE 7	1	PROFESIONAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 10	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	03/25/2025
15283	INVESTIGACIÓN I	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-208253	MRIX226397	LUCÍA ORTIZ MORALES	10.0	A	EG	EXT	06/17/2024	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	64IIS447	Matutino	PRESENCIAL	01/03/2024	INGENIERÍA MECÁNICA	6	INVESTIGACIÓN I	CUATRIMESTRE 8	9	PROFESIONAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	12/14/2023
15284	MATEMÁTICAS APLICADAS	CORAZA SEGARRA DANIEL ARMANDO	INIM-209104	MRIX211316	ELENA REYES SÁNCHEZ	9.0	A	EG	EXT	10/03/2025	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	85IIS751	Vespertino	SEMIPRESENCIAL	10/08/2024	INGENIERÍA EN SISTEMAS	7	MATEMÁTICAS APLICADAS	CUATRIMESTRE 8	7	PROFESIONAL	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 1	IRREGULAR	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	11/06/2023
15285	INVESTIGACIÓN I	SANTOS LUNA GERARDO	INIM-201533	MRIX213272	CARMEN MARTÍNEZ ESPINOZA	9.4	A	EG	EXT	09/11/2023	ORDINARIA	SANTOS LUNA GERARDO	27IIS989	Vespertino	PRESENCIAL	10/31/2023	INGENIERÍA EN SISTEMAS	10	INVESTIGACIÓN I	CUATRIMESTRE 5	8	PROFESIONAL	OBLIGATORIA	0	ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	12/16/2024
15286	SIMULACIÓN	SANTOS LUNA GERARDO	INIM-200473	MRIX233551	JULIA GARCÍA QUINTANILLA	6.4	NA	RE	ORD	10/24/2024	ORDINARIA	SANTOS LUNA GERARDO	11IIS571	Matutino	VIRTUAL	08/06/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	SIMULACIÓN	CUATRIMESTRE 8	6	TERMINAL	OBLIGATORIA	2	NO ACREDITADA	CUATRIMESTRE 8	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	11/11/2023
15287	SIMULACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-206535	MRIX238016	GABRIELA MARTÍNEZ SAMANIEGO	9.3	A	EG	ORD	12/31/2023	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	12IIS121	Matutino	PRESENCIAL	06/06/2024	INGENIERÍA MECÁNICA	10	SIMULACIÓN	CUATRIMESTRE 4	2	BÁSICA	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 3	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	05/06/2024
15288	CREATIVIDAD E INNOVACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-209225	MRIX202568	MARISOL ROQUE SAMANIEGO	9.0	A	AC	EXT	09/02/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	77IIS533	Vespertino	SEMIPRESENCIAL	03/05/2025	INGENIERÍA EN SISTEMAS	6	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 2	8	PROFESIONAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 7	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	07/03/2024
15289	CREATIVIDAD E INNOVACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-208570	MRIX218187	ANA MARTÍNEZ CORAZA	6.2	NA	RE	ORD	09/07/2024	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	55IIS402	Matutino	VIRTUAL	09/19/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 10	5	TERMINAL	OBLIGATORIA	0	NO ACREDITADA	CUATRIMESTRE 1	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	05/24/2024
15290	INVESTIGACIÓN I	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-204876	MRIX198205	SERGIO VARGAS ÁVILA	8.2	A	AC	EXT	06/20/2023	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	41IIS701	Vespertino	VIRTUAL	04/03/2023	INGENIERÍA MECÁNICA	6	INVESTIGACIÓN I	CUATRIMESTRE 8	3	PROFESIONAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 8	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	05/02/2025
15291	SIMULACIÓN	RODRIGUEZ GARCIA MARTHA MARIA	INIM-205910	MRIX194841	CARMEN DÍAZ RIVERA	9.1	A	AC	ORD	09/23/2025	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	89IIS789	Vespertino	SEMIPRESENCIAL	04/09/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	SIMULACIÓN	CUATRIMESTRE 7	8	BÁSICA	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 5	IRREGULAR	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	09/12/2024
15292	ADMINISTRACIÓN INDUSTRIAL	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-201908	MRIX201032	ROBERTO SÁNCHEZ RODRÍGUEZ	7.9	A	AC	ORD	05/14/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	22IIS256	Matutino	SEMIPRESENCIAL	08/28/2025	INGENIERÍA EN SISTEMAS	7	ADMINISTRACIÓN INDUSTRIAL	CUATRIMESTRE 8	8	BÁSICA	OPTATIVA	0	ACREDITADA	CUATRIMESTRE 8	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	02/14/2023
15293	CREATIVIDAD E INNOVACIÓN	SANTOS LUNA GERARDO	INIM-203799	MRIX221427	ROBERTO HERRERA IBARRA	8.3	A	EG	EXT	11/17/2025	ORDINARIA	SANTOS LUNA GERARDO	92IIS162	Matutino	SEMIPRESENCIAL	09/22/2025	LICENCIATURA EN INGENIERÍA INDUSTRIAL	5	CREATIVIDAD E INNOVACIÓN	CUATRIMESTRE 9	8	TERMINAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 1	IRREGULAR	CUERNAVACA UNIVERSIDAD	Bloque 2	ORDINARIA	09/26/2025
15294	SIMULACIÓN	ESPINOZA ESPINOZA ALMA ROSARIO	INIM-209628	MRIX222508	ROSA SAMANIEGO ÁVILA	8.1	A	RE	ORD	11/05/2025	ORDINARIA	ESPINOZA ESPINOZA ALMA ROSARIO	88IIS447	Vespertino	VIRTUAL	04/20/2024	INGENIERÍA MECÁNICA	10	SIMULACIÓN	CUATRIMESTRE 10	6	TERMINAL	OPTATIVA	1	ACREDITADA	CUATRIMESTRE 8	REGULAR	CUERNAVACA UNIVERSIDAD	Bloque 1	ORDINARIA	03/25/2024
15295	SIMULACIÓN	CORAZA SEGARRA DANIEL ARMANDO	INIM-208089	MRIX218331	MAURICIO ALFARO SAMANIEGO	8.6	A	AC	ORD	07/26/2023	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	39IIS340	Matutino	VIRTUAL	10/04/2025	INGENIERÍA MECÁNICA	6	SIMULACIÓN	CUATRIMESTRE 4	3	TERMINAL	OBLIGATORIA	2	ACREDITADA	CUATRIMESTRE 9	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 2	ORDINARIA	05/01/2025
15296	INVESTIGACIÓN I	RODRIGUEZ GARCIA MARTHA MARIA	INIM-202476	MRIX203455	ANTONIO NÚÑEZ ALFARO	10.0	A	AC	ORD	04/06/2023	ORDINARIA	RODRIGUEZ GARCIA MARTHA MARIA	89IIS994	Matutino	VIRTUAL	12/28/2024	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	INVESTIGACIÓN I	CUATRIMESTRE 9	5	PROFESIONAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 10	EGRESADO	CUATLA UNIVERSIDAD	Bloque 1	ORDINARIA	07/01/2024
15297	INVESTIGACIÓN I	CORAZA SEGARRA DANIEL ARMANDO	INIM-205482	MRIX192262	VALERIA ROQUE SÁNCHEZ	7.0	A	AC	EXT	11/12/2023	ORDINARIA	CORAZA SEGARRA DANIEL ARMANDO	18IIS225	Matutino	PRESENCIAL	07/23/2023	LICENCIATURA EN INGENIERÍA INDUSTRIAL	10	INVESTIGACIÓN I	CUATRIMESTRE 4	9	TERMINAL	OBLIGATORIA	1	ACREDITADA	CUATRIMESTRE 8	REGULAR	CUATLA UNIVERSIDAD	Bloque 2	ORDINARIA	01/14/2025
15298	INVESTIGACIÓN I	SANTOS LUNA GERARDO	INIM-207516	MRIX233398	ARTURO ORTIZ HERRERA	6.5	NA	AC	ORD	04/26/2025	ORDINARIA	SANTOS LUNA GERARDO	67IIS913	Vespertino	SEMIPRESENCIAL	05/28/2025	INGENIERÍA EN SISTEMAS	10	INVESTIGACIÓN I	CUATRIMESTRE 6	4	PROFESIONAL	OPTATIVA	0	NO ACREDITADA	CUATRIMESTRE 1	EGRESADO	JOJUTLA UNIVERSIDAD	Bloque 1 y 2	ORDINARIA	04/18/2025
